id,word
1,ход
2,работа
3,движение
4,развитие
5,курс
6,право хода
7,очередь
8,кролик
9,заяц
10,косой
11,серый
12,безбилетник
13,губа
14, — {{рег.}} гриба [1]
15,залив
16,бухта
17,трутовик
19,гауптвахта
20,доллар
21,бакс
22,свет
23,ток
24,электричество
25,Алжир
26,паук
27,устар.: мизгирь
28,муховор
29,сетник
30,кошель
31,тенетник
32,эксплуататор
33,мироед
34,язык
35,ухо
36,слух
37,проушина
38,слон
39,офицер
40,животное
41,зверь (прост.)
42,зверь
43,тварь
44,скотина
45,стена
46,вода
47,влага
48,H₂O
49,HOH
50,оксид водорода
51,окись водорода
52,дигидрид кислорода
53,гидроксид водорода
54,гидроокись водорода
55,дигидромоноксид
56,напиток
57,содовая
58,газировка
59,пойло (разг.
60,пренебр.)
61,акватория
62,источник
63,ключ
64,лечение
65,пустая болтовня
66,плач
67,рыдания
68,околоплодная жидкость
69,семья
70,семейство
71,''част.:'' клан
72,фамилия
73,группировка
74,частичн.
75,крим.: клан
76,радикал
78,оксид
79,окисел
80,окись
81,мощность
82,инфинитив
83,интерфикс
84,анион
85,отрицательный ион
86,протон
87,водород
88,протий
89,ноль
90,нуль
92,ничто
93,пустота
94,кислород
95,мажор
96,дур
97,гомосексуалист
98,гомосексуал
99,педераст
100,гомосек
101,гомик
102,категория
103,понятие
104,концепт
105,класс
106,группа
107,сорт
108,вид
109,дорога
110,путь
111,траектория
112,поездка
113,путешествие
114,следование
115,направление
116,маршрут
117,формат
118,бумага
119,документ
120,шоссе
121,автотрасса
122,трасса
123,автобан
124,шоссейная дорога
126,автотрасса
127,автострада
128,автомагистраль
129,трассер
130,автомобиль
131,машина
132,''разг'' тачка
133,алфавит
134,азбука
136,абевега
137,букварь
138,азы
139,основы
141,ассоциация
142,банк
143,хранилище
144,напряжение
145,сосредоточение
146,напряжённость
147,кружок
148,круг
149,общество
150,общественность
151,союз
152,организация
153,компания
154,фирма
155,предприятие
156,товарищество
157,объединение
158,соединение
159,слияние
160,составление
161,интеграция
162,агрегация
163,кооперация
164,альянс
165,И
166,экзамен
167,банкомат
168,терминал
169,менеджер
170,управляющий
171,руководитель
172,Великобритания
173,Британия
174,Соединённое королевство
175,Соединённое королевство Великобритании и Северной Ирландии
176,аналог
177,среда
178,окружение
179,вещество
180,материал
181,слой
183,Аахен
184,Ахен
185,аахенец
186,орёл
187,герб
188,имя
189,название
190,угорь
192,ловля
193,охота
194,бельдюга
195,муниципалитет
196,город
197,град
198,Нидерланды
199,Голландия
200,Бельгия
201,Аргау
202,Ааргау
203,кантон
204,Швейцария
